web-scraper-order,web-scraper-start-url,pokemon_normaux,pokemon_normaux-href,id_pokemon,nom_pokemon,taille,poids,Points de vie de base,Attaque de base,Défense de base,Attaque spéciale de base,Défense spéciale de base,Vitesse de base,Type_pokemon1-src
"1530536069-2133","https://ivpokemon.fr/liste-pokemon","Roucarnage","https://ivpokemon.fr/infos-pokemon?id=18","#18","Roucarnage","1.5 m","39.5 kg","83","80","75","70","70","101","https://ivpokemon.fr/ressources/images/types/1.png"
"1530534279-1067","https://ivpokemon.fr/liste-pokemon","Chrysapile","https://ivpokemon.fr/infos-pokemon?id=737","#737","Chrysapile","0.5 m","10.5 kg","57","82","95","55","75","36","https://ivpokemon.fr/ressources/images/types/7.png"
"1530534633-1320","https://ivpokemon.fr/liste-pokemon","Nucléos","https://ivpokemon.fr/infos-pokemon?id=577","#577","Nucléos","0.3 m","1 kg","45","30","40","105","50","20","https://ivpokemon.fr/ressources/images/types/14.png"
"1530535706-1973","https://ivpokemon.fr/liste-pokemon","Métamorph","https://ivpokemon.fr/infos-pokemon?id=132","#132","Métamorph","0.3 m","4 kg","48","48","48","48","48","48","https://ivpokemon.fr/ressources/images/types/1.png"
"1530535631-1925","https://ivpokemon.fr/liste-pokemon","Mimigal","https://ivpokemon.fr/infos-pokemon?id=167","#167","Mimigal","0.5 m","8.5 kg","40","60","40","40","40","30","https://ivpokemon.fr/ressources/images/types/4.png"
"1530535195-1702","https://ivpokemon.fr/liste-pokemon","Muciole","https://ivpokemon.fr/infos-pokemon?id=313","#313","Muciole","0.7 m","17.7 kg","65","73","55","47","75","85","https://ivpokemon.fr/ressources/images/types/7.png"
"1530534315-1095","https://ivpokemon.fr/liste-pokemon","Hoopa","https://ivpokemon.fr/infos-pokemon?id=720","#720","Hoopa","0.5 m","9 kg","80","110","60","150","130","70","https://ivpokemon.fr/ressources/images/types/8.png"
"1530535831-2058","https://ivpokemon.fr/liste-pokemon","Tentacruel","https://ivpokemon.fr/infos-pokemon?id=73","#73","Tentacruel","1.6 m","55 kg","80","70","65","80","120","100","https://ivpokemon.fr/ressources/images/types/11.png"
"1530535646-1936","https://ivpokemon.fr/liste-pokemon","Aligatueur","https://ivpokemon.fr/infos-pokemon?id=160","#160","Aligatueur","2.3 m","88.8 kg","85","105","100","79","83","78","https://ivpokemon.fr/ressources/images/types/11.png"
"1530535038-1594","https://ivpokemon.fr/liste-pokemon","Toripouss","https://ivpokemon.fr/infos-pokemon?id=387","#387","Toripouss","0.4 m","10.2 kg","55","68","64","45","55","31","https://ivpokemon.fr/ressources/images/types/12.png"
"1530535445-1835","https://ivpokemon.fr/liste-pokemon","Cadoizo","https://ivpokemon.fr/infos-pokemon?id=225","#225","Cadoizo","0.9 m","16 kg","45","55","45","65","45","75","https://ivpokemon.fr/ressources/images/types/3.png"
"1530534381-1148","https://ivpokemon.fr/liste-pokemon","Golgopathe","https://ivpokemon.fr/infos-pokemon?id=689","#689","Golgopathe","1.3 m","96 kg","72","105","115","54","86","68","https://ivpokemon.fr/ressources/images/types/11.png"
"1530534477-1215","https://ivpokemon.fr/liste-pokemon","Zekrom","https://ivpokemon.fr/infos-pokemon?id=644","#644","Zekrom","2.9 m","345 kg","100","150","120","120","100","90","https://ivpokemon.fr/ressources/images/types/16.png"
"1530535774-2015","https://ivpokemon.fr/liste-pokemon","Voltorbe","https://ivpokemon.fr/infos-pokemon?id=100","#100","Voltorbe","0.5 m","10.4 kg","40","30","50","55","55","100","https://ivpokemon.fr/ressources/images/types/13.png"
"1530534194-1007","https://ivpokemon.fr/liste-pokemon","Boumata","https://ivpokemon.fr/infos-pokemon?id=776","#776","Boumata","2 m","212 kg","60","78","135","91","85","36","https://ivpokemon.fr/ressources/images/types/16.png"
"1530534458-1200","https://ivpokemon.fr/liste-pokemon","Feunnec","https://ivpokemon.fr/infos-pokemon?id=653","#653","Feunnec","0.4 m","9.4 kg","40","45","40","62","60","60","https://ivpokemon.fr/ressources/images/types/10.png"
"1530534211-1018","https://ivpokemon.fr/liste-pokemon","Sarmuraï","https://ivpokemon.fr/infos-pokemon?id=768","#768","Sarmuraï","2 m","108 kg","75","125","140","60","90","40","https://ivpokemon.fr/ressources/images/types/7.png"
"1530535703-1972","https://ivpokemon.fr/liste-pokemon","Évoli","https://ivpokemon.fr/infos-pokemon?id=133","#133","Évoli","0.3 m","6.5 kg","55","55","50","45","65","55","https://ivpokemon.fr/ressources/images/types/1.png"
"1530535326-1750","https://ivpokemon.fr/liste-pokemon","Kirlia","https://ivpokemon.fr/infos-pokemon?id=281","#281","Kirlia","0.8 m","20.2 kg","38","35","35","65","55","50","https://ivpokemon.fr/ressources/images/types/18.png"
"1530535134-1659","https://ivpokemon.fr/liste-pokemon","Colhomard","https://ivpokemon.fr/infos-pokemon?id=342","#342","Colhomard","1.1 m","32.8 kg","63","120","85","90","55","55","https://ivpokemon.fr/ressources/images/types/17.png"
"1530534338-1114","https://ivpokemon.fr/liste-pokemon","Desséliande","https://ivpokemon.fr/infos-pokemon?id=709","#709","Desséliande","1.5 m","71 kg","85","110","76","65","82","56","https://ivpokemon.fr/ressources/images/types/12.png"
"1530534396-1158","https://ivpokemon.fr/liste-pokemon","Fluvetin","https://ivpokemon.fr/infos-pokemon?id=682","#682","Fluvetin","0.2 m","0.5 kg","78","52","60","63","65","23","https://ivpokemon.fr/ressources/images/types/18.png"
"1530535439-1829","https://ivpokemon.fr/liste-pokemon","Malosse","https://ivpokemon.fr/infos-pokemon?id=228","#228","Malosse","0.6 m","10.8 kg","45","60","30","80","50","65","https://ivpokemon.fr/ressources/images/types/10.png"
"1530534925-1516","https://ivpokemon.fr/liste-pokemon","Ptiravi","https://ivpokemon.fr/infos-pokemon?id=440","#440","Ptiravi","0.6 m","24.4 kg","100","5","5","15","65","30","https://ivpokemon.fr/ressources/images/types/1.png"
"1530534855-1464","https://ivpokemon.fr/liste-pokemon","Mammochon","https://ivpokemon.fr/infos-pokemon?id=473","#473","Mammochon","2.5 m","291 kg","110","130","80","70","60","80","https://ivpokemon.fr/ressources/images/types/5.png"
"1530535398-1805","https://ivpokemon.fr/liste-pokemon","Ymphect","https://ivpokemon.fr/infos-pokemon?id=247","#247","Ymphect","1.2 m","152 kg","70","84","70","65","70","51","https://ivpokemon.fr/ressources/images/types/5.png"
"1530534932-1521","https://ivpokemon.fr/liste-pokemon","Archéodong","https://ivpokemon.fr/infos-pokemon?id=437","#437","Archéodong","1.3 m","187 kg","67","89","116","79","116","33","https://ivpokemon.fr/ressources/images/types/14.png"
"1530534157-975","https://ivpokemon.fr/liste-pokemon","Zéroïd","https://ivpokemon.fr/infos-pokemon?id=793","#793","Zéroïd","1.2 m","55.5 kg","109","53","47","127","131","103","https://ivpokemon.fr/ressources/images/types/6.png"
"1530534851-1461","https://ivpokemon.fr/liste-pokemon","Gallame","https://ivpokemon.fr/infos-pokemon?id=475","#475","Gallame","1.6 m","52 kg","68","125","65","65","115","80","https://ivpokemon.fr/ressources/images/types/2.png"
"1530536154-2150","https://ivpokemon.fr/liste-pokemon","Carabaffe","https://ivpokemon.fr/infos-pokemon?id=8","#8","Carabaffe","1 m","22.5 kg","59","63","80","65","80","58","https://ivpokemon.fr/ressources/images/types/11.png"
"1530534145-965","https://ivpokemon.fr/liste-pokemon","Engloutyran","https://ivpokemon.fr/infos-pokemon?id=799","#799","Engloutyran","5.5 m","888 kg","223","101","53","97","53","43","https://ivpokemon.fr/ressources/images/types/16.png"
"1530535031-1590","https://ivpokemon.fr/liste-pokemon","Ouisticram","https://ivpokemon.fr/infos-pokemon?id=390","#390","Ouisticram","0.5 m","6.2 kg","44","58","44","58","44","61","https://ivpokemon.fr/ressources/images/types/10.png"
"1530535010-1573","https://ivpokemon.fr/liste-pokemon","Castorno","https://ivpokemon.fr/infos-pokemon?id=400","#400","Castorno","1 m","31.5 kg","79","85","60","55","60","71","https://ivpokemon.fr/ressources/images/types/1.png"
"1530535507-1879","https://ivpokemon.fr/liste-pokemon","Mentali","https://ivpokemon.fr/infos-pokemon?id=196","#196","Mentali","0.9 m","26.5 kg","65","65","60","130","95","110","https://ivpokemon.fr/ressources/images/types/14.png"
"1530535394-1801","https://ivpokemon.fr/liste-pokemon","Lugia","https://ivpokemon.fr/infos-pokemon?id=249","#249","Lugia","5.2 m","216 kg","106","90","130","90","154","110","https://ivpokemon.fr/ressources/images/types/3.png"
"1530535663-1944","https://ivpokemon.fr/liste-pokemon","Germignon","https://ivpokemon.fr/infos-pokemon?id=152","#152","Germignon","0.9 m","6.4 kg","45","49","65","49","65","45","https://ivpokemon.fr/ressources/images/types/12.png"
"1530534490-1226","https://ivpokemon.fr/liste-pokemon","Cobaltium","https://ivpokemon.fr/infos-pokemon?id=638","#638","Cobaltium","2.1 m","250 kg","91","90","129","90","72","108","https://ivpokemon.fr/ressources/images/types/9.png"
"1530535483-1863","https://ivpokemon.fr/liste-pokemon","Scorplane","https://ivpokemon.fr/infos-pokemon?id=207","#207","Scorplane","1.1 m","64.8 kg","65","75","105","35","65","85","https://ivpokemon.fr/ressources/images/types/5.png"
"1530534934-1522","https://ivpokemon.fr/liste-pokemon","Archéomire","https://ivpokemon.fr/infos-pokemon?id=436","#436","Archéomire","0.5 m","60.5 kg","57","24","86","24","86","23","https://ivpokemon.fr/ressources/images/types/9.png"
"1530535400-1807","https://ivpokemon.fr/liste-pokemon","Embrylex","https://ivpokemon.fr/infos-pokemon?id=246","#246","Embrylex","0.6 m","72 kg","50","64","50","45","50","41","https://ivpokemon.fr/ressources/images/types/5.png"
"1530535684-1958","https://ivpokemon.fr/liste-pokemon","Ptéra","https://ivpokemon.fr/infos-pokemon?id=142","#142","Ptéra","1.8 m","59 kg","80","105","65","60","75","130","https://ivpokemon.fr/ressources/images/types/6.png"
"1530535699-1970","https://ivpokemon.fr/liste-pokemon","Voltali","https://ivpokemon.fr/infos-pokemon?id=135","#135","Voltali","0.8 m","24.5 kg","65","65","60","110","95","130","https://ivpokemon.fr/ressources/images/types/13.png"
"1530535599-1901","https://ivpokemon.fr/liste-pokemon","Joliflor","https://ivpokemon.fr/infos-pokemon?id=182","#182","Joliflor","0.4 m","5.8 kg","75","80","95","90","100","50","https://ivpokemon.fr/ressources/images/types/12.png"
"1530534564-1280","https://ivpokemon.fr/liste-pokemon","Lampéroie","https://ivpokemon.fr/infos-pokemon?id=603","#603","Lampéroie","1.2 m","22 kg","65","85","70","75","70","40","https://ivpokemon.fr/ressources/images/types/13.png"
"1530534292-1077","https://ivpokemon.fr/liste-pokemon","Picassaut","https://ivpokemon.fr/infos-pokemon?id=731","#731","Picassaut","0.3 m","1.2 kg","35","75","30","30","30","65","https://ivpokemon.fr/ressources/images/types/3.png"
"1530535638-1930","https://ivpokemon.fr/liste-pokemon","Noarfang","https://ivpokemon.fr/infos-pokemon?id=164","#164","Noarfang","1.6 m","40.8 kg","100","50","50","76","96","70","https://ivpokemon.fr/ressources/images/types/1.png"
"1530535597-1900","https://ivpokemon.fr/liste-pokemon","Marill","https://ivpokemon.fr/infos-pokemon?id=183","#183","Marill","0.4 m","8.5 kg","70","20","50","20","50","40","https://ivpokemon.fr/ressources/images/types/18.png"
"1530534390-1155","https://ivpokemon.fr/liste-pokemon","Cupcanaille","https://ivpokemon.fr/infos-pokemon?id=685","#685","Cupcanaille","0.8 m","5 kg","82","80","86","85","75","72","https://ivpokemon.fr/ressources/images/types/18.png"
"1530534966-1544","https://ivpokemon.fr/liste-pokemon","Ceriflor","https://ivpokemon.fr/infos-pokemon?id=421","#421","Ceriflor","0.5 m","9.3 kg","70","60","70","87","78","85","https://ivpokemon.fr/ressources/images/types/12.png"
"1530534394-1157","https://ivpokemon.fr/liste-pokemon","Cocotine","https://ivpokemon.fr/infos-pokemon?id=683","#683","Cocotine","0.8 m","15.5 kg","101","72","72","99","89","29","https://ivpokemon.fr/ressources/images/types/18.png"
"1530534175-990","https://ivpokemon.fr/liste-pokemon","Tokorico","https://ivpokemon.fr/infos-pokemon?id=785","#785","Tokorico","1.8 m","20.5 kg","70","115","85","95","75","130","https://ivpokemon.fr/ressources/images/types/18.png"
"1530535797-2031","https://ivpokemon.fr/liste-pokemon","Grotadmorv","https://ivpokemon.fr/infos-pokemon?id=89","#89","Grotadmorv","1.2 m","30 kg","105","105","75","65","100","50","https://ivpokemon.fr/ressources/images/types/4.png"
"1530536158-2152","https://ivpokemon.fr/liste-pokemon","Dracaufeu","https://ivpokemon.fr/infos-pokemon?id=6","#6","Dracaufeu","1.7 m","90.5 kg","78","84","78","109","85","100","https://ivpokemon.fr/ressources/images/types/10.png"
"1530534603-1310","https://ivpokemon.fr/liste-pokemon","Vivaldaim","https://ivpokemon.fr/infos-pokemon?id=585","#585","Vivaldaim","0.6 m","19.5 kg","60","60","50","40","50","75","https://ivpokemon.fr/ressources/images/types/12.png"
"1530535369-1782","https://ivpokemon.fr/liste-pokemon","Medhyèna","https://ivpokemon.fr/infos-pokemon?id=261","#261","Medhyèna","0.5 m","13.6 kg","35","55","35","30","30","35","https://ivpokemon.fr/ressources/images/types/17.png"
"1530535729-1989","https://ivpokemon.fr/liste-pokemon","Staross","https://ivpokemon.fr/infos-pokemon?id=121","#121","Staross","1.1 m","80 kg","60","75","85","100","85","115","https://ivpokemon.fr/ressources/images/types/11.png"
"1530535333-1755","https://ivpokemon.fr/liste-pokemon","Goélise","https://ivpokemon.fr/infos-pokemon?id=278","#278","Goélise","0.6 m","9.5 kg","40","30","30","55","30","85","https://ivpokemon.fr/ressources/images/types/11.png"
"1530535066-1614","https://ivpokemon.fr/liste-pokemon","Terhal","https://ivpokemon.fr/infos-pokemon?id=374","#374","Terhal","0.6 m","95.2 kg","40","55","80","35","60","30","https://ivpokemon.fr/ressources/images/types/14.png"
"1530535972-2113","https://ivpokemon.fr/liste-pokemon","Nidoking","https://ivpokemon.fr/infos-pokemon?id=34","#34","Nidoking","1.4 m","62 kg","81","102","77","85","75","85","https://ivpokemon.fr/ressources/images/types/4.png"
"1530534800-1428","https://ivpokemon.fr/liste-pokemon","Grotichon","https://ivpokemon.fr/infos-pokemon?id=499","#499","Grotichon","1 m","55.5 kg","90","93","55","70","55","55","https://ivpokemon.fr/ressources/images/types/2.png"
"1530535972-2114","https://ivpokemon.fr/liste-pokemon","Nidoking","https://ivpokemon.fr/infos-pokemon?id=34","#34","Nidoking","1.4 m","62 kg","81","102","77","85","75","85","https://ivpokemon.fr/ressources/images/types/5.png"
"1530535189-1698","https://ivpokemon.fr/liste-pokemon","Gloupti","https://ivpokemon.fr/infos-pokemon?id=316","#316","Gloupti","0.4 m","10.3 kg","70","43","53","43","53","40","https://ivpokemon.fr/ressources/images/types/4.png"
"1530535742-1996","https://ivpokemon.fr/liste-pokemon","Kangourex","https://ivpokemon.fr/infos-pokemon?id=115","#115","Kangourex","2.2 m","80 kg","105","95","80","40","80","90","https://ivpokemon.fr/ressources/images/types/1.png"
"1530534719-1380","https://ivpokemon.fr/liste-pokemon","Crapustule","https://ivpokemon.fr/infos-pokemon?id=537","#537","Crapustule","1.5 m","62 kg","105","95","75","85","75","74","https://ivpokemon.fr/ressources/images/types/11.png"
"1530535636-1929","https://ivpokemon.fr/liste-pokemon","Coxy","https://ivpokemon.fr/infos-pokemon?id=165","#165","Coxy","1 m","10.8 kg","40","20","30","40","80","55","https://ivpokemon.fr/ressources/images/types/3.png"
"1530535153-1673","https://ivpokemon.fr/liste-pokemon","Tylton","https://ivpokemon.fr/infos-pokemon?id=333","#333","Tylton","0.4 m","1.2 kg","45","40","60","40","75","50","https://ivpokemon.fr/ressources/images/types/1.png"
"1530534532-1262","https://ivpokemon.fr/liste-pokemon","Limonde","https://ivpokemon.fr/infos-pokemon?id=618","#618","Limonde","0.7 m","11 kg","109","66","84","81","99","32","https://ivpokemon.fr/ressources/images/types/13.png"
"1530535492-1869","https://ivpokemon.fr/liste-pokemon","Girafarig","https://ivpokemon.fr/infos-pokemon?id=203","#203","Girafarig","1.5 m","41.5 kg","70","80","65","90","65","85","https://ivpokemon.fr/ressources/images/types/1.png"
"1530534938-1527","https://ivpokemon.fr/liste-pokemon","Moufouette","https://ivpokemon.fr/infos-pokemon?id=434","#434","Moufouette","0.4 m","19.2 kg","63","63","47","41","41","74","https://ivpokemon.fr/ressources/images/types/17.png"
"1530535817-2047","https://ivpokemon.fr/liste-pokemon","Flagadoss","https://ivpokemon.fr/infos-pokemon?id=80","#80","Flagadoss","1.6 m","78.5 kg","95","75","110","100","80","30","https://ivpokemon.fr/ressources/images/types/14.png"
